asin,reviewText,overall
B000FA64QO,"Most of the New Jedi Order books focus on the Solo kids, to the extent that some are viewed as ""Jacen books"" or ""Jania books."" The novella Ylesia is if anything a book starring Thrackan Sal-Solo. Thrackan is forcibly recruited by the Yuuzhan Vong to become president of the Peace Brigade Republic. However, the New Republic forces also choose to attack Ylesia. There's nothing new or terribly exciting in the novel, but it's a nice side story. It's written in a similar style asDestiny's Way (Star Wars: The New Jedi Order, Book 14), which isn't surprising as they're both by the same author. This short story actually takes place during the novel, so I'd recommend reading the novel first so Ylesia doesn't spoil any surprises.",4
B000FA64QO,I was hoping to find this one in book form. The story looks like it will be good when I get that far in the series.,5
B000FA64QO,"The events of ""Ylesia"" take place during ""Destiny's Way.""  If you've read ""Destiny's Way,"" you will see it mentioned in passing.Jaina and Jacen go to Ylesia to fight the Peace Brigade to show them that it's not good to align themselves with the enemy.  From there, it is page after page of battle scenes.  It is endless.  One huge chapter.  It's like the chapter that was cut out for good reason.""Ylesia"" doesn't advance ""Destiny's Way"" or ""The New Jedi Order"" in any way that I could tell.  We don't learn anything new.  There is no insight.  If I had skipped it, I wouldn't have missed anything.If you don't mind reading in PDF, ""Ylesia"" is available free from Del Rey.  If you Google, you'll see it linked to the Wayback machine and it's still there.",3
B000FBFMVG,"Really shouldn't have Han Solo on the cover as he doesn't come into the story.This story is all about Chewbacca and his family.I won't give anything away, but it is a nice, if short, read.",5
B000FBFMVG,"Originally published as an e-book coinciding with the release of the novel Tatooine Ghost, Troy Denning's A Forest Apart is a short story following Chewbacca, his wife Mallatobuck, and his son Lumpy on a adventure into the bowels of Coruscant. Malla and Lumpy are visiting Chewie at his Coruscant apartment when a break-in at the next-door Solo place turns out to have more serious ramifications. The Wookiees follow the burglars and end up unearthing an Imperial plot set in place by an old tool of the villainous Ysanne Isard.There's a lot of action in a short space but not much time for meaningful character development. Lumpy is a pre-teen striving to find his place in the world, and Chewbacca's perpetual absence in his life may have left a gaping hole as far as having a father figure to look up to. There's not enough pages to explore this theme with much depth, and in the end the issue is dropped, since on a practical level Lumpy can't live with his father chasing all over the galaxy anyway. The theme of the impact a Wookiee Life Debt has on the Wookiee holding it and on his/her family is an interesting one that could be explored in more detail with a longer story.Unlike many novels which handle Chewie's communications by having him grunt and then having a nearby character paraphrase what he said, Denning makes the wise choice of letting the Wookiees speak as normal characters and simply puts brackets to indicate they are actually using their native tongue. It's always enjoyable seeing Chewbacca in action, and even though this story doesn't really add anything significant to the larger saga, it's an entertaining diversion.",3
B000FBFMVG,This book was a good idea. I have always wanted to read more about Chewbaccas son Lumpy. Though I do wish he would have added more to the ending. I would recommend this book to anyone who loves Star Wars and Chewbacca.,4
B000FBFMVG,"Great short story. It gives a little more insight into the walking carpet we all love, this time as a father",5
B000FBFMVG,I love anything with Chewbacca in it.  Him and his family is just a bonus.  Kind of nice to see him having problems with his son.,5
B000FBFMVG,"A great little chapter to read on my Kindle, but not necessarily worth the price. It would have been a nice addition to The Courtship of Princess Leia or an add on to Tatooine Ghost. I liked it, but when it doesn't even rate being published as a paperback; an avid Star Wars fan you will need to be to download and read this eBook.",5
B000FBFMVG,I love the stories with Chewie in them! this e-book is no exception. great character introductions and wonderful story line.,5
B000FBFMVG,I'm not really sure where it actually fits into the overall story line.This story involves only Chewie and his wife and son.  The other characters are only mentioned in passing.  It was enjoyable and well written but I was glad it was very short and didn't keep me from the main story for very long.,4
B000FBFMVG,"I really do enjoy Troy Denning's work, I want everyone who reads this review to know this.  I loved Star by Star and I very much enjoyed Tattooine Ghost.  This book ""A Forest Apart"" wasn't on par with his other works.  It wasn't without it's charm, but it had things in it that I didn't like.The story itself is pretty simple.  It's a coming of age story for Chewbacca's son, and instead of coming of age on Kashyyyk, he is growing up on Coruscant.  It's not horrible, and we find out that Lumpy is an avid gamer and enjoys playing video games and that he idolizes his father.***SPOILERS***  ***SPOILERS***  ***SPOILERS***First of all, why is Han Solo on the cover?  He's not even IN this story other than a few mentions of his name.  Why not have Chewbacca and Lumpy instead of Han and Chewie?  Also, I HATE books where Chewbacca's grunts and growls are translated.  Like in the Black Fleet Trilogy, he had his speech translated and it was just stupid.  I feel that he works much better as a strong silent type who speaks through his actions rather than his words.  I mean imagine in characters like Jason Vorhees, Michael Meyers, Silent Bob, or Sphynx (from Gone in 60 Seconds), all just started having lengthy conversations throughout their movies?  They lose some of what makes those characters awesome.  Sometimes an author can say very much by having a character say very little.My only other problem with the book is when Chewie and Malla have the droid ""IT"" in their blaster sights, his back is to them and he doesn't see them.  Why don't they just shoot him?  Instead they send Lumpy out as a ""distraction.""  Yet he doesn't really do anything worth mentioning to distract IT and his minions.  He walks out on the observation deck where they are hiding, opens the window and drops down to the level where IT and his minions are loading nerve gas onto transport ships.  I mean that's not much of a distraction, besides the point of a distraction is to get someone's attention away from one spot so you can do something while they are not looking.  Well, IT wasn't looking in your direction to begin with, so why bother?  They could have just taken up positions on the observation deck and shot him.***END SPOILERS***  ***END SPOILERS***  ***END SPOILERS***Okay so this story wasn't really bad other than a few minor details I didn't like.  I did like seeing that even in a galaxy far far away that we have sons who want to be like their fathers and get into trouble when they do rebellious things.  This story reminded me of what a good writer Troy Denning is and it reminded me to add his other works to my wishlist.Check this one out!",3
B00BT0J8ZS,This was a really good book.  Well written and easy to read.  It made me laugh and made me cry.  Well worth reading this series.  Now on the book two.  Happy reading,5
B00BT0J8ZS,I started the book the night before last but it was so so good that I had finished it last night. It was like watching an action movie for sure. The end is nothing like the typical ending ---- at all!! I am starting the next book asap!!!,5
B00BT0J8ZS,"The story was really VERY good but EXTREAMLY annoying. This book should of been read1st in my opinion or 2nd by the authors opinion, if you go by the date the book was written it should be read 3rd. But you don't know you should read it 1st or 2nd until u start reading it. It says it's a prequel to the Mating, again u don't know this till u start reading it! The beginning of the book has a Historical Note, which I think should be read with the first book. As for the story itself, it was very good except there were to many instances where either of the main characters were going to tell the other something important but they were always get cut off. Also, what is it with authors that have to chastise a character who wants to kill an evil person that wants to kill or torture them or a loved one. Early in books, typically the guy says that he will seriously hurt or kill a person if they hurt their loved one but then later in the book they don't DO ANYTHING unless provoked or the author explains in detail why they have a right to hurt or kill someone, like trying to justify it to us. Just kill them already!",4
B00BT0J8ZS,This was a very good book. Over 7000 locations yet i was never bored. I wish there had been more romance and the idea that werewolfs could stay away from their mates for years didnt  sit well with me. But it was a great story i relized who the villian was but it was not obvious.,5
B00BT0J8ZS,"This book answered many questions, gave good background, and its place in the series is perfect, if this book was first I do not think it was have been as interesting.",5
B00BT0J8ZS,"Excellent series - I loved it starting with the prequel and right into the sequel.  Well done, Nicky Charles.  Thank you!",5
B00BT0J8ZS,"Brandi is just days away from graduating from the Lycan equivalent of college when she finds herself volunteered for a demonstration of basic self defense ... even though she only received a mercy pass in her own self defense class because the instructor felt she had tried her best at least. The icing on the cake of this experience is that she has been crushing on Reno, the instructor, since she first noticed him on campus and is mortified of looking like a fool. Brandi's roommate had offered her up as a sacrifice for this position because she thought it was a perfect opportunity for Brandi to meet Reno. She had no idea just how right she was.Reno is an Enforcer, it is his job to enforce the Lycan Law. Brandi becomes a Disaster Control Officer, it is her job to clean up after the Enforcers to make sure that humans remain unaware of their Lycan neighbors. While their jobs ensure that Reno's and Brandi's lives intersect often, there is a natural animosity between the two careers. Over the years there is an electrical connection between the two, the tension could be cut with a knife. Each have their own reasons for not wanting to get into a relationship with the other and try to ignore the sparks that fly whenever they are thrown together.This was a LOT better than I had expected and I really cannot think of why I had such low expectations for it. I had downloaded The Mating, which is the first book of this series, well over a year ago from goodreads and never got around to reading it. I saw that this prequel was available for free while selecting my monthly picks, I quickly snatched it up as well as the rest of the books in this series which was free. I was so enthralled with the plot that I don't really recall any editing errors if there were any. A wonderfully twisty story that I really recommend!While this and all the books within the Law of the Lycans series was available as free ebooks on Amazon, which don't usually stay free for long, you may want to see if they are indeed still free. There was a statement at the end of the book that the books will remain free and if you like them to donate the approximate cost of the book to your nearest animal or homeless shelter and help make a life better. It is great to see writers who are obviously writing for the sheer pleasure of it and not just hoping to turn a quick buck.",5
B00BT0J8ZS,"This is a prequel book that gives this series a back story and start.  I enjoyed this book and the whole series.  I read this first, then went to The Mating, The Keeping, The Finding, then lastly Betrayed.  I think this is the best way to read this series as this book (Bonded) travels over many years that ends up covering the time frame that puts the end of it and close to the end of Betrayed at the same spot.  None of the books need the others to be a full book, but since the story and characters are very good, and make you want more, read them all.. or, do what I did, inhale them.",4
B00BT0J8ZS,"I can't brag enough about Nicky Charles,  How many good authors do you knbow that give their books away, Yeha for Nicky.",4
B00BT0J8ZS,"I recently discovered this author and enjoy reading her books. This book was such a good story, so complete in the telling. All of the characters were three dimensional, which made them very real.",5
B00BT0J8ZS,This was a great book. I thoroughly enjoyed reading it. It kept me interested throughout the entire book. What more can you ask for!,5
B00BT0J8ZS,This book was so good that I read it in 2 days.  I could not put it down and have never really been a fan of the werewolf stories.  Give it a try and you will be surprised.,5
B00BT0J8ZS,"Have read other Nicky Charles books and liked them, this NO  ! too mushy and dumb,not up to his standers",2
B00BT0J8ZS,This was a great book.  I really enjoyed the characters of Brandy and Reno. This is my first time I read any books about Lycans and I really enjoyed it.,5
B00BT0J8ZS,"I liked the personalities of the main characters and, to a certain extent, the plot had some twists that kept me reading.  However, it is much, much too predictable, especially in the romance department.  How long can you drag out ""poor me, I'm don't deserve to be loved""?And her martyrdom, when she goes for years without telling him about her ""problem"" - pretty stupid, and not understandable based on the characters as developed in the story...The action has some suspense and is fairly interesting, again with a couple of too predictable developments that pulled me out of the experience.Some people seem to dig the sex scenes -- to me they are sort of silly.  There seems to be a formula where a certain amount of explicit sex needs to be included somewhere in these novels.  Do people really think sex is where ""soul mates"" are forged???? Or is it just the woman's version of Playboy?",3
B00BT0J8ZS,I enjoyed this story. At times I got frustrated with Brandi`s dilemma. However the last few chapters made up for it!,4
B00BT0J8ZS,I'm doing student teaching for early childhood education and I started this book two weeks before the end of the semester! I would work out when to do homework and read! Awesome book!!,5
B00BT0J8ZS,Love all her books all of them are great. Loved the story it's got great build up and suspense in each one.,5
B00BT0J8ZS,"I was hesitant to read this book at first, thinking it was another twilight knock off. But I was pleasantly surprised that it was the complete opposite! Since the very first page, I found myself trying to speed read and skip ahead just too see what would happen next. The suspense was almost too much. Great story line with a strong foundation. I can't wait to continue the series! Kudos to the author.",5
B00BT0J8ZS,"I'm not big on writing reviews, there is a reason I'm a reader not a writer!  ;-)  A very good read, but a bit long for me.  If you are into a great long reads, this one is for you and you can't beat ""free"" with a stick.  I liked this one so much that now have ALL the books in this series.  You will fall in love with both Reno & Brandi!",4
B00BT0J8ZS,Awesome.....Love the characters....have read all but one of the series.. starting it today....plan to watch for more book Nicky Charles. Great author.,5
B00BT0J8ZS,"Bonded is a book where we are taken and introduced to the Lycan world. The radical group, The Purists, are looking to weed out the weak blooded half were. Lycan Link is the agency within the Lycan world trained to weed out these radical groups.I feel there is a lot of base story in this book, but it holds its own. I don't like giving away any of the plot when I write my reviews but I will tell you that if you enjoy Alpha weres and their strong mates, then you will enjoy this.Read again: maybeRecommend: yesHeat:3.5/5",4
B00BT0J8ZS,Brandi was a tough one. To be able to work with such a extremely sexy man and to be patrial blood bonded and keep it secret... Enough said.,5
B00BT0J8ZS,Definitely love that this heroine is very career minded and independent. Loved their constant bickering/banter. You could definitely feel the spark. Has a great plot. The author did a great job at giving the reader their back story. Still surprised it was free!,5
B00BT0J8ZS,"Enjoyed this book from start to finish. The characters were all well explained, organized, and easy to follow. There is humor, mystery, and it is easy to identify with Brandi and her feelings. Once you get started with this series, you won't want to stop. The entire series is entertaining!",5
B00BT0J8ZS,Good book. It was slow in places but had enough action to keep me interested. Cried at the end.... love Damien.,4
B00BT0J8ZS,Great story! Wonderful character development and lots of nice steamy tidbits. I very much enjoyed this read and am looking forward to the next book.,5
B00BT0J8ZS,Have been enjoying all of these stories written by Nicky Charles.  Interesting enough to look for other stories written by the same person.  Great story line and keeps me coming back for more.  I will also visit the local SPCA as per the writers wishes.,5
B00BT0J8ZS,I am new to the werewolf stories and never thought I would want to read them.  Nicky Charles changed that for me and I'm looking forward to future writings.,5
B00BT0J8ZS,I can't believe that you give away your stories. Thank you for the entertainment I have enjoyed your series a lot.,5
B00BT0J8ZS,"I enjoyed the series and I'd recommend it to others for sure. I was pleasantly surprised at how much better the prequel was than the other books. Unfortunately, the first book in the series didn't float my boat, if you will, as it was very long and the relationship between the main characters was just too tortured. I think this book could really be read by many different audiences so that gives it a great deal of kudos from me.",3
B00BT0J8ZS,I enjoyed this book very much and downloaded the whole series. It's a free download and so are the other books in the series so you won't get left hanging at the end waiting for the next book. I enjoyed all the plot twists and it was definitely well written. Kept me on the edge of my seat.,5
B00BT0J8ZS,"I found this series a few months ago and wanted to start at the beginning- even though I was more interested in the Mating. I should have gone with my first mind. Brandi and Remi or Royce or whoever (I just finished the book and I can't remember his name)... had NO chemistry. He doesn't even seem to like her until the end when he claims to love her. She spends most of the book thinking about him/talking about him like he is a member of boy band. This book is mind numbing, slow paced (how that can be when it skips ahead years at a time I don't know) and a real waste of time. It got a second star because at least I got a whole story instead of 40 pages of crappy sex scenes for $3.99.",2
B00BT0J8ZS,I had never read anything from this author before. Was pleasantly surprised. Good story. Hot sex scenes. Lovable characters. Will read the rest in this series..,3
B00BT0J8ZS,I loved this book! I read it as quickly as I could! Simply amazing. Plus at the end the author suggests that you donate to a local animal shelter instead of paying for the book! :) made me love the book that much more!!,5
B00BT0J8ZS,"I love Nicky Charles work, she a great Author,her book series were excellent and entwined very well together from book to book, you never lost track of who the players were and where the story line was going..EXCELLENT!!",5
B00BT0J8ZS,I read the entire series. It had a good plot line and good characters that made you want to continue till you read them all.,4
B00BT0J8ZS,I usually don't read about werewolves but after seeing one in the True blood series (Alcide is hot!) I decided to look for a book with werewolves in it. This series did not disappoint!!,5
B00BT0J8ZS,"Let me start by saying the only reason I gave it 4 stars was because the word 'practice' was spelled 'practise'. I read The Mating first an in that one the word 'realize' was spelled 'realise' all but 5 times... And it was extremely frequent. In this book it was spelled correctly thank goodness as the author likes to use it a lot.Having said that, it was incredible story that had you feeling for the characters. You want things to work for Brandi and Reno. Brandi is a no nonsense woman who is independent and strong willed, perhaps too much for her own good. Reno is equally pigheaded, too down on himself to realize what a good man he is. They are both fighting a fate that they actually want. Definite page turner. I couldn't put it down.",4
B00BT0J8ZS,Rating: 4.5 starsI have really loved the Lycan series by Nicky and I can't wait to read the next one. You get pulled into the world that is created and can't help but fall in love with the characters. If you like hot shifter books than you definitely need to pick up this series. :),4
B00BT0J8ZS,"Reno, you've seem to have it all. I enjoyed his journey to save others, dominate with a mate & form new adventures in his job",3
B00BT0J8ZS,"Same story as all the others in this series.  The writing is so much the same, that I keep thinking that I have already read the book.",3
B00BT0J8ZS,"The book was the first that I read of the author, and I became hooked and quickly went onto read the entire series and still want more.  This story is really good, it seems to drag on at times, but the characters are enjoyable and the story keeps your interest peeked!",4
B00BT0J8ZS,The short summary of the book.pretty much tells it all. Some back and forth between the main characters with a little suspense added in. I found myself rooting for their relationship and wondering if they would ever get together.,5
B00BT0J8ZS,"This book gives a modern day history of Lyncan Links which has a university, and different departments that maintain damage control if a werewolf has been sighted, another department protects half caste Lyncans from the purists.  Bonded also makes reference to Lyncans in future books.  Highly recommended",5
B00BT0J8ZS,"This book has everything a book in this genre should have, I laughed, I cried, I even got frustrated at times and even became sad a few times.  I would strongly recommend if you love books in this genre.",5
B00BT0J8ZS,This is a great book. It is very detailed and the story keeps you interested til the end. I would buy this book but its actually free which is even better. Very good read.,5
B00BT0J8ZS,"This is a great book. It was kind of hard for me to get into, but once it gets going it's really good. I am getting ready to download the next one, and hope that it's as good. The only criticism I have is that it's a bit long winded. I wish that it progressed faster, but at the same time it hooks you so...I definitely recommend giving it a chance.It really pisses me off that Damien loses it and goes rouge, but wth would you expect after all. Reno and Brandi will steal your heart, Damien will break it, and everyone else gets to mend it all.",4
B00BT0J8ZS,This is a great series. I should've read this book first. The author makes every book a page turner. There's one more book in the series & I'm sure it'll be just as good as the rest.,5
B00BT0J8ZS,This series has yet to disappoint me. If your looking for an easy read that keeps your attention then this is a great series to read.,4
B00BT0J8ZS,"this was a fun and amazing series to read, i enjoyed it every step of the way... its a must read!",5
B00BT0J8ZS,Very well written. The characters jump to life page by page.I am looking forward to reading the next book in this series.,5
B00BT0J8ZS,What a great book.  I wished I would have realized in what order to read this as I didnt know there was a series.  I have recently loaded all and am on the 3rd in two days.  A great find in the bookworld!,4
B00BT0J8ZS,"What can I say about Nikky Charles' work besides DO NOT MISS OUT ON IT!!! Bonded is another fantastic installment/or can be a stand alone book that will turn into a book that you just keep going back to, it will own a little piece of home in your heart.",5
B00BT0J8ZS,I am truly glad for your writing skills read the entire series out of order finding it by accident they stand alone and together. Gradually they order me to finish reading them awesome awesome books,5
B00BT0J8ZS,"Loved this series. I normally don't write reviews but in lieu of payment, that is what this author requested and I feel it is well worth my time to say how much I have enjoyed her series and fell in love with each of the characters. Definitely a page turner and kept me wrapped in from beginning to end and immediately beginning the next one in the series.",5
B00BT0J8ZS,"First read of Nicky Charles books and I read the rest quickly.  Couldn't wait to turn the pages.  A little too graphic sexually for my comfort, but the story is mesmerizing.",5
B00BT0J8ZS,"Like other reviewers already said this has waaayyyy too much fluff and with the many good reviews I expected much more. The sex scenes are just ok, and the sexual tension goes from good to lukewarm, just not worth it. I liked the H (Reno)character and also Damien but didn't care much for the h (Brandi). I like a good alpha male and I normally like shifter stories but this one was mostly boring. At around 35% I lost my patience and started to skip and scan through to just catch more of the relevant stuff. I finished the book to see how it ended (ok). It was free so no great loss but this author will go on my 'do not read' list.",2
B00BT0J8ZS,Elise and Kane's beginning was unlike most marriages because neither had a choice in the mating but they eventually fell in love and the mating of convenience became true love.,5
B00BT0J8ZS,I like this book and couldn't wait to find out what would happen in The Mating (book 1). I then got all three books that were in this series. It was a good read and free!,4
B00BT0J8ZS,"I truly enjoyed this first book in the series from nicky charles! Not only am I totally interested in what happens to the characters but where the story is set has lots of potential. I normally go for regency style romances so werewolves and modern day adventure was a stretch, a delightful stretch. I can't wait to get into the next book in the series!!",5
B00BT0J8ZS,I've loved all the ebooks I've read by Nicky Charles!  I like the take on werewolves where they were not all 'gruesome' when they turned into werewolves.,5
B00BT0J8ZS,So love it. I have grown so used to the characters in the Lyman series wish to know what happens to all of them.,5
B00BT0J8ZS,"I enjoy when an author offers a book for free. It gives me a chance to sample their work. I'm disgusted by people who go around writing one-star reviews on books they download for free. They got the work FREE! It's a GIFT! Why bash it just because they can? Just mind-boggling. Just goes to show you the state of the world and the sense of entitlement some people have. And some people are just plain negative and bitter, no matter which way you slice it. When I download a free book, I'm appreciative that I got a FREE GIFT. In this case, the free gift was an excellent book that I thoroughly enjoyed reading it. The story flowed, the characters were interesting, and there were no plot holes or grammar errors like in some books. Five stars and two thumbs up! I'll be buying the next book and the rest of this author's series. Keep up the good work!",5
B00BT0J8ZS,I love my werewolf stories. This is a prequel to The Mating. I read these out of order so I will go back and happily re-read The Mating.Reno is an Enforcer for Lycan Link. He believes he is all but a rogue wolf waiting to happen if he lets his gaurs down. Brandy is a young she wolf looking for a career & a way out of her little backwoods town. The two meet!Reno is stubborn & Brandy is worse! Good thing I love the wolves! This is a wonderful story if a bit long with the two of them not getting it together for over 3 yrs! The epilogue will blow you away.,4
B00BT0J8ZS,Liked the book because it's the start of the series and doesn't disappoint with the story line. Would recommend to others.,4
B00BT0J8ZS,"There were twists and turns in this story that I didn't see coming, and the relationships are amazing. I wish I would have read these books in story order not release order.",4
B00BT0J8ZS,"Ok so I know this series is FREE (which is awesome) but I have to say that I would pay so much more for this novel. I love werewolves as much as the next girl but this one takes the cake. I can't say more without dropping a bomb on you unsuspecting review readers so I will just say that there are many major twists in this novel. When reading believe no one, trust only the main character, and be one with your wolf!",5
B00BT0J8ZS,I really enjoyed it. I'm not usually a shape shifter or werewolf fan but this was enjoyable in a sify way. Unusual but very enjoyable.,4
B00BT0J8ZS,"I have read all of this series by Nicky Charles, and I highly recommend them to all who love the paranormal. I couldn't stop reading them, they were so enjoyable. As soon as I finished one I went online and got the next one. Happy reading to e everyone who tries this series, and thanks to Nicky for another series well done!",5
B00BT0J8ZS,"Has all the things I look for in a book - humor, drama, action, suspense, and good story line. If you like fantasy stories about lycan lives, you will like this series. Well written.",4
B00BT0J8ZS,I did not think I would enjoy this category of fiction but find I want to read more. It is written well and the story lines are believable for this particular genre.,4
B00BT0J8ZS,"Loved the book, I have downloaded all the others in this series now. I am starting Damien's story next really not sure if I am going in order, but they are too good to stop. Also love that they are all free downloads, I liked them so much that I will definitely be donating to a animal charity. I think this was a wonderful idea on the Author's part. So if you love a good paranormal romance and lots of action, these are the books to read.",5
B00BT0J8ZS,"A fantastic read! The characters were believable in every aspect. The plot kept getting thicker with each turn of the page. Never really wanted to put it down. In fact there were a few times I had to force myself to do just that. As far as the "" spelling "" wasn't even an issue. Can't wait to dive into the next book.",5
B00BT0J8ZS,"I downloaded this book, as well as all the others in the series one night, on a whim. I got bored with a current read and switched to this one, again, on a whim, since I have sooo many other books to be read in front of this one. I could NOT put this book down. I'd fall asleep reading it. This was amazing. The fact that it was free completely baffled me, it's sooo well written. The story line is great, the tension between the characters is phenomenal. The heartbreak that she makes you feel is so wrenching, you feel like its happening to you. I wanted to cry. At the end of the book my heart broke so much for another character. I don't want to spoil it, but this book was beyond anything that I expected. Definitely must read. At the end of the book, the author tells you that if you want to contribute to anything, since books are free, to donate to an animal shelter. How truly awesome is that? Anywho, READ THIS BOOK, NOW! &lt;3 Reviewed by Ashley E. of Fae Books.",5
B00BT0J8ZS,This was absolutely great book. The story kept me interested and I couldn't put it down. Got to get the next book by Nicky Charles. Great author.,4
B00BT0J8ZS,"Wow! This book was so enjoyable to experience. It fulfilled all of my expectations. There is suspense, drama, romance and sizzling emotions between the two main characters. I'm really looking forward to reading the next book in the series!!",5
B00BT0J8ZS,"This is not a bad read although it is slow and the characters equally slow or at least slow-witted.  It seems to take forever to get together because they clash over stupid things mostly that could be solved half way through the book.  A little tightening could really put this into the great book category but still it was free and Reno finally got his head in the right place, and I like that the author talks of donations to good causes as opposed to being paid.  Not everyone can do this but more importantly not everyone would think of it so it gives Nicky Charles that little extra.",3
B00BT0J8ZS,I had read The Finding and was motivated to read more in the series.  Totally enjoyed th premise and story line.  Recommend for those who enjoy romance stories and have a love of animals.  I shall continue to read more of the series.,4
B00BT0J8ZS,I really liked this book. It kept me on edged. I really like this Author Nicky Charles amazing........... I would definitely recommend this book!,5
B00BT0J8ZS,"With all the books I've read so far by Nicky Charles and the Law of the Lycans set I was just there with them. They all pulled me in and I couldn't put them down. Just getting to know each person and hear their stories and see their lives and how they continue on with the other parts of the family and then the end with Cassie and her story, I was blown away. I can't say enought about The Mating, The Keeping, The Finding, The Bonding and I can't wait to read Betrayed: Days of the Rogue. I'm pretty sure I know who it's going to be about and I'm dying to know what he's been up to. Love them all and can't say enough good about them and how they flow with eachother!!! It's nice to find another paranormal series that's not about vampires that just pulls me in and keeps me wanting more.",5
B00BT0J8ZS,Never expected that I would enjoy a book such as this. Great story line and can't wait to start the second in this series.,5
B00BT0J8ZS,This story was well written & interesting to read. It is nice to read a novel in this genre instead of a short story or novella which seems more of the norm than not.,4
B00BT0J8ZS,"I Love her books. this series was excellent , I wish I had more. I love them. I want more.",5
B00BT0J8ZS,I like all her books. I haven't found one that I don't like. And they r all free she just enjoys writing. Which I thought was really neat.,4
B00BT0J8ZS,"Awesome book - just when I think about the other books by Nicky Charles has written , they keep getting better... I am looking forward to the next... A must read and a promise the suspense will not allow you to put them down..",5
B00BT0J8ZS,"Great story and I love that it wasn't really short! Going to read the next book now, tell you if I liked it tomorrow when I'm done-",5
B00BT0J8ZS,"This is just another example of how good writing should be. Nicky has you on edge all the time, you can't seem to wait to turn the page and see what happens. The book was thrilling, exciting and had a lot of romance, sex, suspense. I highly recommend to read this one before the mating, i read it after i finished with the finding, but still it could be considered as a standalone even though it mentions some of the characters we already know.",5
B00BT0J8ZS,Another good book from Nicky Charles. These characters pull you in. The story lines never fail either. read the entire series.,4
B00BT0J8ZS,I love this whole series and this is one of the better of the set that has a crazy twist to it!,5
B00BT0J8ZS,I read the mating before I read this and both books are incredible. I got so attached to the characters and I'm so sad about Beth and Damien. I have already downloaded the finding and the keeping. Nicky Charles is an amazing writer.,5
B00BT0J8ZS,"I so far have read four of your books, I am I live with every character. I can't get enough.",5
B00BT0J8ZS,"Thanks Nicky, can't wait to start the next!!One of the best series I've read in awhile!!! Highly recommend and a must read for Lucian lovers!!!!",5
B00BT0J8ZS,This was my first wolf book instead of a vampire book. Still has the love connection but take years to happen. The ending was totally unexpected.,4
B00BT0J8ZS,A great story. It kept my interest all the time. True romance and suspense. Can not wait to read the next in the series.,5
